id,name,description,phase,inputs,outputs,path,mcpTool
"project-analysis","Project Analysis","Auto-detect host project: stack, routes, auth, DB, package managers.","0","none","core/project.config.json","skills/project-analysis","qa.analyze_project"
"user-story-analysis","User Story Analysis","Parse a user story or epic — extract AC, scenarios, risks, edge cases, security scenarios.","1","story: path to story file","story AST JSON","skills/user-story-analysis","qa.analyze_story"
"test-case-generation","Test Case Generation","Produce Arabic XLSX + MD test cases saved in output/{story-id}/test-cases/","2","story: optional, ast: optional","XLSX and MD test cases","skills/test-case-generation","qa.generate_test_cases"
"playwright-generation","Playwright E2E Generation","Scaffold JavaScript Playwright POM + spec files in output/{story-id}/e2e/","3","suite: required, story: optional","page object + spec files","skills/playwright-generation","qa.generate_e2e"
"test-data-generation","Test Data Generation","Generate JSON test data files in output/{story-id}/test-data/ for each E2E suite","4","suite: optional","JSON test data files","skills/test-data-generation","qa.generate_test_data"
"test-execution","Test Execution","Run Playwright tests in configured mode (headed/headless) with configured browser","5","suite: optional, headed: optional","JUnit XML, screenshots, videos, traces","skills/test-execution","qa.run_tests"
"bug-analysis","Bug Analysis","Triage test failures, generate Arabic bug reports in output/{story-id}/bug-reports/","6","junit: optional","Arabic bug report MD files","skills/bug-analysis","qa.analyze_bugs"
"qa-reporting","QA Reporting","Aggregate QA summary (HTML + MD + XLSX) in output/{story-id}/reports/","7","none","HTML dashboard, XLSX report, MD summary","skills/qa-reporting","qa.generate_report"
"full-workflow","Full QA Workflow","MASTER — run all 7 phases: analyze → generate → run → report","all","story: optional, suite: optional","all phase artifacts + final report","skills/full-workflow","qa.full_workflow"
"regression-testing","Regression Testing","Re-run baseline test suite and diff against previous results","N/A","none","regression diff report","skills/regression-testing","qa.regression_test"
"security-validation","Security Validation","OWASP-style validation pass on detected endpoints","N/A","none","security findings report","skills/security-validation","qa.security_scan"
"accessibility-validation","Accessibility Validation","a11y audit on detected pages","N/A","none","accessibility report","skills/accessibility-validation","qa.accessibility_scan"
"autonomous-testing","Autonomous Testing","Bounded plan→act→observe→reflect loop for autonomous QA","N/A","plan: optional","autonomous run trace","skills/autonomous-testing","qa.autonomous_run"
